电影名,评分,地区,类型,详情连接,海报连接
指环王2：双塔奇兵,9.0,美国,剧情,https://movie.douban.com/subject/1291572/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg
搏击俱乐部,9.0,美国,剧情,https://movie.douban.com/subject/1292000/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
飞越疯人院,9.0,美国,剧情,https://movie.douban.com/subject/1292224/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
完美的世界,9.0,美国,剧情,https://movie.douban.com/subject/1300992/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg
大独裁者,9.0,美国,剧情,https://movie.douban.com/subject/1295646/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1960167314.jpg
将军号,9.0,美国,剧情,https://movie.douban.com/subject/1292778/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248676081.jpg
纽伦堡的审判,9.0,美国,剧情,https://movie.douban.com/subject/1292589/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p922207281.jpg
海蒂,9.0,美国,剧情,https://movie.douban.com/subject/1925081/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2270779943.jpg
小丘月圆,9.0,美国,剧情,https://movie.douban.com/subject/1302752/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2334104591.jpg
淘金岁月,9.0,美国,剧情,https://movie.douban.com/subject/1928887/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518163022.jpg
街头友爱之情,9.0,美国,剧情,https://movie.douban.com/subject/2255927/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517733405.jpg
霸王别姬,9.6,香港,剧情,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg
背靠背，脸对脸,9.4,香港,剧情,https://movie.douban.com/subject/1307856/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg
无间道,9.1,香港,剧情,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg
活着,9.1,香港,剧情,https://movie.douban.com/subject/1292365/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
南海十三郎,9.1,香港,剧情,https://movie.douban.com/subject/1303913/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg
上海滩,9.1,香港,剧情,https://movie.douban.com/subject/6311260/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2344833803.jpg
霸王别姬,9.6,香港,剧情,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg
